,properties
0,"{'code': '11250', 'name': '강동구', 'name_eng': 'Gangdong-gu', 'base_year': '2013'}"
1,"{'code': '11240', 'name': '송파구', 'name_eng': 'Songpa-gu', 'base_year': '2013'}"
2,"{'code': '11230', 'name': '강남구', 'name_eng': 'Gangnam-gu', 'base_year': '2013'}"
3,"{'code': '11220', 'name': '서초구', 'name_eng': 'Seocho-gu', 'base_year': '2013'}"
4,"{'code': '11210', 'name': '관악구', 'name_eng': 'Gwanak-gu', 'base_year': '2013'}"
5,"{'code': '11200', 'name': '동작구', 'name_eng': 'Dongjak-gu', 'base_year': '2013'}"
6,"{'code': '11190', 'name': '영등포구', 'name_eng': 'Yeongdeungpo-gu', 'base_year': '2013'}"
7,"{'code': '11180', 'name': '금천구', 'name_eng': 'Geumcheon-gu', 'base_year': '2013'}"
8,"{'code': '11170', 'name': '구로구', 'name_eng': 'Guro-gu', 'base_year': '2013'}"
9,"{'code': '11160', 'name': '강서구', 'name_eng': 'Gangseo-gu', 'base_year': '2013'}"
10,"{'code': '11150', 'name': '양천구', 'name_eng': 'Yangcheon-gu', 'base_year': '2013'}"
11,"{'code': '11140', 'name': '마포구', 'name_eng': 'Mapo-gu', 'base_year': '2013'}"
12,"{'code': '11130', 'name': '서대문구', 'name_eng': 'Seodaemun-gu', 'base_year': '2013'}"
13,"{'code': '11120', 'name': '은평구', 'name_eng': 'Eunpyeong-gu', 'base_year': '2013'}"
14,"{'code': '11110', 'name': '노원구', 'name_eng': 'Nowon-gu', 'base_year': '2013'}"
15,"{'code': '11100', 'name': '도봉구', 'name_eng': 'Dobong-gu', 'base_year': '2013'}"
16,"{'code': '11090', 'name': '강북구', 'name_eng': 'Gangbuk-gu', 'base_year': '2013'}"
17,"{'code': '11080', 'name': '성북구', 'name_eng': 'Seongbuk-gu', 'base_year': '2013'}"
18,"{'code': '11070', 'name': '중랑구', 'name_eng': 'Jungnang-gu', 'base_year': '2013'}"
19,"{'code': '11060', 'name': '동대문구', 'name_eng': 'Dongdaemun-gu', 'base_year': '2013'}"
20,"{'code': '11050', 'name': '광진구', 'name_eng': 'Gwangjin-gu', 'base_year': '2013'}"
21,"{'code': '11040', 'name': '성동구', 'name_eng': 'Seongdong-gu', 'base_year': '2013'}"
22,"{'code': '11030', 'name': '용산구', 'name_eng': 'Yongsan-gu', 'base_year': '2013'}"
23,"{'code': '11020', 'name': '중구', 'name_eng': 'Jung-gu', 'base_year': '2013'}"
24,"{'code': '11010', 'name': '종로구', 'name_eng': 'Jongno-gu', 'base_year': '2013'}"
